Gene		GRCP	GLCP
ENSG00000006837		1.098e-10	3.115e-10
ENSG00000011083		8.552e-10	6.454e-09
ENSG00000013561		1.872e-10	3.827e-10
ENSG00000015479		3.802e-10	1.756e-09
ENSG00000016082		4.155e-10	1.033e-08
ENSG00000019582		7.576e-10	9.135e-10
ENSG00000027847		4.607e-10	9.253e-10
ENSG00000028310		7.737e-10	4.140e-09
ENSG00000031003		3.717e-10	4.689e-09
ENSG00000035499		4.127e-10	6.703e-10
ENSG00000037241		7.395e-10	8.750e-09
ENSG00000037280		1.688e-10	1.363e-09
ENSG00000037474		3.777e-10	1.063e-09
ENSG00000037749		2.221e-10	6.282e-09
ENSG00000038274		7.403e-10	9.894e-09
ENSG00000038382		3.794e-10	5.802e-10
ENSG00000038427		7.410e-10	2.109e-09
ENSG00000039123		3.580e-10	1.582e-09
ENSG00000039139		6.924e-04	8.836e-04
ENSG00000039319		3.764e-10	2.702e-09
ENSG00000039537		5.059e-10	3.634e-09
ENSG00000039560		5.000e-11	3.398e-10
ENSG00000039600		4.190e-10	1.239e-09
ENSG00000040275		4.425e-10	5.772e-09
ENSG00000043143		4.024e-10	6.214e-10
ENSG00000043462		3.687e-10	3.697e-10
ENSG00000044115		7.418e-10	4.531e-09
ENSG00000047188		3.849e-10	3.999e-09
ENSG00000048140		3.803e-10	3.972e-10
ENSG00000048162		3.819e-10	7.334e-10
ENSG00000049167		2.464e-10	3.952e-09
ENSG00000049192		3.840e-10	6.848e-10
ENSG00000049656		5.386e-11	4.070e-10
ENSG00000049860		3.664e-10	1.042e-09
ENSG00000049883		4.780e-10	3.542e-09
ENSG00000050748		1.571e-10	4.602e-10
ENSG00000050767		3.478e-02	1.554e-01
ENSG00000051596		4.926e-10	1.441e-09
ENSG00000053108		2.324e-04	2.344e-03
ENSG00000055147		4.052e-11	1.140e-10
ENSG00000055163		3.595e-10	8.331e-10
ENSG00000056097		1.026e-10	1.449e-09
ENSG00000058729		3.797e-10	3.571e-09
ENSG00000061455		7.397e-10	1.031e-09
ENSG00000062194		7.679e-10	1.655e-09
ENSG00000063438		9.961e-11	6.360e-10
ENSG00000064651		6.838e-10	5.067e-09
ENSG00000064652		6.131e-10	4.320e-09
ENSG00000064692		6.040e-11	2.484e-10
ENSG00000066230		7.728e-10	2.410e-09
ENSG00000066583		3.839e-10	1.430e-09
ENSG00000067113		1.383e-11	4.947e-11
ENSG00000067248		3.724e-10	5.694e-10
ENSG00000068796		4.007e-10	8.859e-10
ENSG00000069011		3.715e-10	8.585e-10
ENSG00000069020		3.708e-10	1.442e-09
ENSG00000070193		3.634e-10	2.009e-08
ENSG00000070614		1.100e-11	2.373e-11
ENSG00000070808		3.486e-11	1.051e-10
ENSG00000070814		3.853e-10	4.869e-10
ENSG00000071539		9.046e-11	3.114e-09
ENSG00000072364		7.933e-10	5.181e-09
ENSG00000072571		4.860e-03	1.407e-01
ENSG00000072682		3.543e-10	9.674e-09
ENSG00000072786		3.135e-10	6.845e-09
ENSG00000072803		3.423e-10	1.518e-08
ENSG00000073578		4.134e-10	4.677e-10
ENSG00000074276		1.600e-10	1.085e-09
ENSG00000074317		4.471e-10	7.404e-10
ENSG00000078295		1.306e-05	1.306e-05
ENSG00000078795		2.401e-07	2.413e-07
ENSG00000079215		7.400e-10	6.100e-09
ENSG00000080709		3.719e-10	5.032e-09
ENSG00000081059		3.679e-10	1.808e-09
ENSG00000081189		5.272e-10	1.859e-08
ENSG00000081791		7.647e-10	1.134e-08
ENSG00000081818		7.414e-10	1.250e-08
ENSG00000081842		3.723e-10	1.824e-09
ENSG00000081853		3.976e-10	6.654e-09
ENSG00000082068		3.706e-10	3.706e-10
ENSG00000082074		7.215e-10	3.055e-09
ENSG00000082196		7.355e-10	1.634e-08
ENSG00000082213		7.645e-12	1.371e-11
ENSG00000082515		4.127e-10	6.467e-09
ENSG00000082516		3.699e-10	8.573e-10
ENSG00000083312		3.196e-10	5.515e-09
ENSG00000083720		4.757e-10	7.772e-09
ENSG00000085231		5.959e-10	5.842e-09
ENSG00000085365		3.824e-10	4.506e-10
ENSG00000086189		7.888e-10	6.945e-09
ENSG00000086200		3.737e-10	3.757e-10
ENSG00000086570		3.820e-10	4.898e-10
ENSG00000086589		3.695e-10	9.554e-09
ENSG00000087116		4.257e-10	5.384e-10
ENSG00000087206		6.069e-10	3.972e-09
ENSG00000091009		7.804e-10	5.079e-09
ENSG00000091010		7.404e-10	3.763e-09
ENSG00000092421		3.923e-10	2.891e-09
ENSG00000094755		3.710e-10	3.710e-10
ENSG00000094880		7.563e-10	1.547e-09
ENSG00000095015		3.714e-10	3.281e-09
ENSG00000112851		3.706e-10	3.711e-10
ENSG00000112852		4.837e-10	9.368e-10
ENSG00000112855		6.745e-10	2.614e-09
ENSG00000112874		2.481e-03	8.742e-02
ENSG00000112877		7.575e-10	8.605e-10
ENSG00000112893		3.725e-10	3.725e-10
ENSG00000112902		7.414e-10	5.316e-09
ENSG00000112936		3.838e-10	4.702e-09
ENSG00000112941		3.757e-10	3.757e-10
ENSG00000112964		4.389e-11	2.677e-10
ENSG00000112972		3.786e-10	8.846e-10
ENSG00000112977		4.370e-10	2.020e-09
ENSG00000112981		3.894e-10	7.045e-09
ENSG00000112983		4.541e-11	3.534e-10
ENSG00000112984		7.687e-10	1.338e-09
ENSG00000112992		6.922e-10	1.052e-08
ENSG00000112996		3.969e-10	2.813e-09
ENSG00000113013		7.862e-10	1.104e-09
ENSG00000113048		5.783e-10	4.043e-09
ENSG00000113068		6.360e-12	1.176e-11
ENSG00000113070		7.630e-10	1.980e-09
ENSG00000113073		2.268e-12	2.716e-12
ENSG00000113083		3.709e-10	6.634e-10
ENSG00000113088		7.401e-10	2.205e-09
ENSG00000113108		3.704e-10	8.560e-10
