Gene		GRCP	GLCP
g1		3.445e-08	3.446e-08
g10		9.469e-10	1.943e-09
g100		8.679e-09	8.688e-09
g1000		5.167e-08	5.883e-08
g10000		1.305e-08	1.359e-08
g10001		1.775e-08	1.806e-08
g10002		1.948e-08	2.066e-08
g10003		8.599e-04	1.102e-03
g10004		1.504e-02	2.678e-02
g10005		2.637e-08	3.248e-08
g10006		5.374e-02	1.031e-01
g10007		1.499e-08	2.071e-08
g10008		6.876e-08	8.108e-08
g10009		9.128e-09	1.030e-08
g1001		1.919e-10	2.179e-10
g10010		2.893e-02	4.272e-02
g10011		2.583e-08	2.799e-08
g10012		2.614e-08	2.982e-08
g10013		1.558e-01	3.011e-01
g10014		6.535e-10	1.738e-09
g10015		4.097e-01	8.285e-01
g10016		2.251e-08	3.699e-08
g10017		1.723e-08	1.732e-08
g10018		1.723e-08	1.723e-08
g10019		1.040e-08	1.046e-08
g1002		3.060e-08	3.088e-08
g10020		8.626e-09	8.627e-09
g10021		1.723e-08	1.921e-08
g10022		1.254e-08	1.281e-08
g10023		1.000e+00	1.000e+00
g10024		9.489e-09	1.093e-08
g10025		1.744e-08	2.335e-08
g10026		1.726e-08	1.820e-08
g10027		9.979e-01	9.998e-01
g10028		7.023e-02	1.187e-01
g10029		3.554e-10	4.341e-10
g1003		1.769e-08	1.876e-08
g10030		6.453e-11	6.591e-11
g10031		1.000e+00	1.000e+00
g10032		3.751e-08	4.498e-08
g10033		9.459e-01	9.968e-01
g10034		3.079e-08	3.341e-08
g10035		1.932e-08	2.158e-08
g10036		2.730e-08	2.930e-08
g10037		4.132e-10	4.363e-10
g10038		1.725e-08	2.417e-08
g10039		1.988e-08	2.361e-08
g1004		2.354e-08	4.835e-08
g10040		3.445e-08	3.520e-08
g10041		6.179e-09	6.295e-09
g10042		1.889e-09	3.062e-09
g10043		1.036e-08	1.064e-08
g10044		2.509e-08	3.948e-08
g10045		8.534e-09	1.114e-08
g10046		9.242e-09	1.022e-08
g10047		1.258e-08	1.339e-08
g10048		2.598e-08	2.825e-08
g10049		3.055e-08	3.254e-08
g1005		3.103e-08	3.251e-08
g10050		2.026e-08	2.441e-08
g10051		3.420e-08	3.839e-08
g10052		9.173e-11	1.053e-10
g10053		1.138e-01	2.797e-01
g10054		1.061e-08	1.103e-08
g10055		2.448e-08	2.910e-08
g10056		8.655e-09	1.795e-08
g10057		3.889e-08	4.094e-08
g10058		1.188e-08	1.256e-08
g10059		1.772e-08	2.463e-08
g1006		2.168e-08	3.153e-08
g10060		3.443e-08	3.471e-08
g10061		8.995e-09	8.996e-09
g10062		1.268e-09	1.548e-09
g10063		1.723e-08	1.789e-08
g10064		9.598e-01	9.996e-01
g10065		1.450e-08	1.513e-08
g10066		3.446e-08	3.781e-08
g10067		1.121e-08	1.257e-08
g10068		1.728e-08	1.728e-08
g10069		3.483e-08	3.532e-08
g1007		1.763e-08	1.974e-08
g10070		1.718e-08	1.784e-08
g10071		1.082e-08	1.305e-08
g10072		3.244e-09	3.854e-09
g10073		3.385e-10	3.550e-10
g10074		1.599e-08	1.682e-08
g10075		7.558e-02	7.908e-02
g10076		8.598e-09	1.084e-08
g10077		1.390e-10	1.520e-10
g10078		8.775e-09	1.629e-08
g10079		9.705e-01	9.811e-01
g1008		1.092e-08	1.247e-08
g10080		1.758e-08	2.102e-08
g10081		3.465e-08	3.560e-08
g10082		5.238e-01	9.971e-01
g10083		2.075e-08	3.841e-08
g10084		1.860e-09	2.203e-09
g10085		4.902e-05	6.783e-05
g10086		9.098e-09	9.419e-09
g10087		2.604e-08	2.643e-08
